,CONFPOP,WHITE,BLACK,HISP,ASIAN,OTHER
CALIFORNIA,82040,23399,19943,33913,1606,783
FLORIDA,61948,31546,25320,4716,142,24
TEXAS,57365,19967,17815,17378,155,18
GEORGIA,34966,11152,20911,2516,164,8
PENNSYLVANIA,32179,12694,14783,4341,250,18
LOUISIANA,27699,8502,16513,429,44,6
VIRGINIA,27337,10202,14265,1879,118,20
NEW YORK,25316,4029,12775,6143,168,47
TENNESSEE,19325,8207,10242,813,25,6
NEW JERSEY,15864,3089,8002,3327,67,42
ILLINOIS,15070,3877,9100,2012,16,4
OHIO,14682,6351,6775,260,30,6
ARIZONA,14163,5629,1635,5859,64,866
MASSACHUSETTS,12607,5097,3067,3193,161,16
MICHIGAN,11810,5679,5486,539,41,19
WASHINGTON,11558,7298,2241,1140,323,503
KENTUCKY,11359,7409,3483,401,17,4
NORTH CAROLINA,11027,3082,6511,1109,32,260
COLORADO,10823,5063,1822,2362,98,92
MARYLAND,10083,2542,6882,461,31,6
INDIANA,9914,5594,3740,544,8,3
WISCONSIN,9896,4761,4049,649,85,174
SOUTH CAROLINA,9553,2960,5912,397,4,12
ALABAMA,9306,3581,5060,611,10,5
MISSISSIPPI,7163,1838,4574,164,15,5
NEW MEXICO,7022,1816,504,4009,14,649
NEVADA,6517,2789,1909,1551,151,101
MISSOURI,6287,1834,3846,147,18,4
OKLAHOMA,5571,2422,1967,538,20,284
UTAH,4906,3247,277,1083,34,221
MINNESOTA,4715,1758,932,173,71,231
OREGON,4444,3165,539,626,54,41
WEST VIRGINIA,3960,3366,547,43,2,2
KANSAS,3686,1900,1204,524,22,20
D.C.,3103,66,2801,159,4,0
ARKANSAS,2852,1526,1128,72,9,5
IDAHO,2419,591,38,353,9,13
IOWA,1650,1014,374,179,17,61
NEBRASKA,1445,837,513,66,4,25
NEW HAMPSHIRE,1199,945,100,135,11,2
SOUTH DAKOTA,1105,558,70,41,9,403
MAINE,760,636,73,40,7,2
WYOMING,723,522,48,126,0,27
MONTANA,479,259,24,60,1,128
NORTH DAKOTA,388,207,24,19,0,135
ALASKA,0,0,0,0,0,0
CONNETICUT,0,0,0,0,0,0
DELEWARE,0,0,0,0,0,0
HAWAII,0,0,0,0,0,0
RHODE ISLAND,0,0,0,0,0,0
VERMONT,0,0,0,0,0,0
