,CONFPOP,ADMALE,ADFEML,JUVMALE,JUVFEML
TOTAL,613246,530250,77324,5273,399
POPTOTAL10,308745538,151400000,158600000,,
ALABAMA,9306,7931,1323,47,5
ALASKA,n/a,n/a,n/a,n/a,n/a
ARIZONA,14163,11814,2086,249,14
ARKANSAS,2852,2327,463,48,14
CALIFORNIA,82040,71238,10792,10,0
COLORADO,10823,9326,1466,29,2
CONNETICUT,n/a,n/a,n/a,n/a,n/a
DELEWARE,n/a,n/a,n/a,n/a,n/a
FLORIDA,61948,52592,8550,786,20
GEORGIA,34966,30594,4030,294,48
HAWAII,n/a,n/a,n/a,n/a,n/a
IDAHO,2419,1979,435,5,0
ILLINOIS,15070,13232,1615,209,14
INDIANA,9914,8651,1170,80,13
IOWA,1650,1396,241,12,1
KANSAS,3686,3177,507,2,0
KENTUCKY,11359,9643,1716,0,0
LOUISIANA,27699,24073,3379,233,14
MAINE,760,632,128,0,0
MARYLAND,10083,8620,1215,242,6
MASSACHUSETTS,12607,11971,546,86,4
MICHIGAN,11810,10216,1457,123,14
MINNESOTA,4715,4168,530,15,2
MISSISSIPPI,7163,6555,539,56,13
MISSOURI,6287,5624,618,42,3
MONTANA,479,408,71,0,0
NEBRASKA,1445,1244,201,0,0
NEVADA,6517,5396,1070,49,2
NEW HAMPSHIRE,1199,1083,109,7,0
NEW JERSEY,15864,14278,1539,43,4
NEW MEXICO,7022,6229,703,74,16
NEW YORK,25316,22199,2275,804,38
NORTH CAROLINA,11027,9451,1186,361,29
NORTH DAKOTA,388,337,42,9,0
OHIO,14682,12311,2315,55,1
OKLAHOMA,5571,4595,926,48,2
OREGON,4444,3814,621,7,2
PENNSYLVANIA,32179,28045,3834,291,9
RHODE ISLAND,n/a,n/a,n/a,n/a,n/a
SOUTH CAROLINA,9553,8467,1036,46,4
SOUTH DAKOTA,1105,889,216,0,0
TENNESSEE,19325,16384,2842,93,6
TEXAS,57365,48753,8094,447,71
UTAH,4906,4164,738,4,0
VERMONT,n/a,n/a,n/a,n/a,n/a
VIRGINIA,27337,23681,3545,108,3
WASHINGTON,11558,9909,1614,34,1
D.C.,3103,2766,299,37,1
WEST VIRGINIA,3960,3466,494,0,0
WISCONSIN,9896,8581,1104,188,23
WYOMING,723,618,105,0,0
