,CONFPOP,WHITE,BLACK,HISP,ASIAN,OTHER
TOTAL,613246,231714,246185,104977,4135,5316
POPTOTAL10,308745538,223553265,38929319,50477594,14674252,3472261
ALABAMA,9306,3581,5060,611,10,5
ALASKA,n/a,n/a,n/a,n/a,n/a,n/a
ARIZONA,14163,5629,1635,5859,64,866
ARKANSAS,2852,1526,1128,72,9,5
CALIFORNIA,82040,23399,19943,33913,1606,783
COLORADO,10823,5063,1822,2362,98,92
CONNETICUT,n/a,n/a,n/a,n/a,n/a,n/a
DELEWARE,n/a,n/a,n/a,n/a,n/a,n/a
FLORIDA,61948,31546,25320,4716,142,24
GEORGIA,34966,11152,20911,2516,164,8
HAWAII,n/a,n/a,n/a,n/a,n/a,n/a
IDAHO,2419,591,38,353,9,13
ILLINOIS,15070,3877,9100,2012,16,4
INDIANA,9914,5594,3740,544,8,3
IOWA,1650,1014,374,179,17,61
KANSAS,3686,1900,1204,524,22,20
KENTUCKY,11359,7409,3483,401,17,4
LOUISIANA,27699,8502,16513,429,44,6
MAINE,760,636,73,40,7,2
MARYLAND,10083,2542,6882,461,31,6
MASSACHUSETTS,12607,5097,3067,3193,161,16
MICHIGAN,11810,5679,5486,539,41,19
MINNESOTA,4715,1758,932,173,71,231
MISSISSIPPI,7163,1838,4574,164,15,5
MISSOURI,6287,1834,3846,147,18,4
MONTANA,479,259,24,60,1,128
NEBRASKA,1445,837,513,66,4,25
NEVADA,6517,2789,1909,1551,151,101
NEW HAMPSHIRE,1199,945,100,135,11,2
NEW JERSEY,15864,3089,8002,3327,67,42
NEW MEXICO,7022,1816,504,4009,14,649
NEW YORK,25316,4029,12775,6143,168,47
NORTH CAROLINA,11027,3082,6511,1109,32,260
NORTH DAKOTA,388,207,24,19,0,135
OHIO,14682,6351,6775,260,30,6
OKLAHOMA,5571,2422,1967,538,20,284
OREGON,4444,3165,539,626,54,41
PENNSYLVANIA,32179,12694,14783,4341,250,18
RHODE ISLAND,n/a,n/a,n/a,n/a,n/a,n/a
SOUTH CAROLINA,9553,2960,5912,397,4,12
SOUTH DAKOTA,1105,558,70,41,9,403
TENNESSEE,19325,8207,10242,813,25,6
TEXAS,57365,19967,17815,17378,155,18
UTAH,4906,3247,277,1083,34,221
VERMONT,n/a,n/a,n/a,n/a,n/a,n/a
VIRGINIA,27337,10202,14265,1879,118,20
WASHINGTON,11558,7298,2241,1140,323,503
D.C.,3103,66,2801,159,4,0
WEST VIRGINIA,3960,3366,547,43,2,2
WISCONSIN,9896,4761,4049,649,85,174
WYOMING,723,522,48,126,0,27
