,CONFPOP,TOTPOP,ADMALE,ADFEML,JUVMALE,JUVFEML,TOTGEND,JUVADS,CONVMALE,CONVFML,UNCONVML,UNCONVFM,TOTADCNV,WHITE,BLACK,HISP,AMINDALK,ASIAN,HAWPAC
TOTAL,613246,662583,530250,77324,5273,399,417,613246,193261,30138,327106,45129,613246,231714,246185,104977,4903,4135,413
POPTOTAL10,,,151400000,158600000,,,,,,,,,308745538,223553265,38929319,50477594,2932248,14674252,540013
,,,,,,,,,,,,,,,,,,,
ALABAMA,9306,9323,7931,1323,47,5,9306,43,1710,269,6087,1029,9306,3581,5060,611,5,10,0
ALASKA,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
ARIZONA,14163,14163,11814,2086,249,14,14163,263,2827,696,8722,1343,14163,5629,1635,5859,865,64,1
ARKANSAS,2852,2859,2327,463,48,14,2852,16,1026,277,1349,200,2852,1526,1128,72,4,9,1
CALIFORNIA,82040,94307,71238,10792,10,0,82040,9,21979,3589,45084,6431,82040,23399,19943,33913,530,1606,253
COLORADO,10823,11985,9326,1466,29,2,10823,31,4602,757,4753,711,10823,5063,1822,2362,91,98,1
CONNETICUT,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
DELEWARE,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
FLORIDA,61948,73957,52592,8550,786,20,61948,614,15234,2748,38144,5822,61948,31546,25320,4716,21,142,3
GEORGIA,34966,35014,30594,4030,294,48,34966,265,12826,1380,17697,2624,34966,11152,20911,2516,5,164,3
HAWAII,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
IDAHO,2419,2687,1979,435,5,0,2419,5,715,159,1025,199,2419,591,38,353,13,9,0
ILLINOIS,15070,16532,13232,1615,209,14,15070,191,1666,268,11775,1361,15070,3877,9100,2012,4,16,0
INDIANA,9914,11905,8651,1170,80,13,9914,24,2096,314,5120,558,9914,5594,3740,544,2,8,1
IOWA,1650,1689,1396,241,12,1,1650,13,532,36,876,206,1650,1014,374,179,58,17,3
KANSAS,3686,3694,3177,507,2,0,3686,2,866,140,1172,182,3686,1900,1204,524,19,22,1
KENTUCKY,11359,11820,9643,1716,0,0,11359,0,4553,808,4962,876,11359,7409,3483,401,4,17,0
LOUISIANA,27699,28355,24073,3379,233,14,27699,226,11706,1681,11371,1628,27699,8502,16513,429,5,44,1
MAINE,760,794,632,128,0,0,760,0,432,32,200,96,760,636,73,40,2,7,0
MARYLAND,10083,15814,8620,1215,242,6,10083,248,2312,340,6550,881,10083,2542,6882,461,6,31,0
MASSACHUSETTS,12607,12887,11971,546,86,4,12607,57,6793,347,5264,203,12607,5097,3067,3193,10,161,6
MICHIGAN,11810,12313,10216,1457,123,14,11810,130,4884,805,5455,666,11810,5679,5486,539,19,41,0
MINNESOTA,4715,5049,4168,530,15,2,4715,13,2254,306,1929,226,4715,1758,932,173,231,71,0
MISSISSIPPI,7163,7163,6555,539,56,13,7163,42,3588,198,3023,354,7163,1838,4574,164,5,15,0
MISSOURI,6287,6362,5624,618,42,3,6287,41,1339,155,3832,423,6287,1834,3846,147,3,18,1
MONTANA,479,479,408,71,0,0,479,0,74,9,334,62,479,259,24,60,128,1,0
NEBRASKA,1445,1507,1244,201,0,0,1445,0,290,60,954,141,1445,837,513,66,25,4,0
NEVADA,6517,8143,5396,1070,49,2,6517,51,2085,537,3360,535,6517,2789,1909,1551,99,151,2
NEW HAMPSHIRE,1199,1240,1083,109,7,0,1199,7,392,31,698,78,1199,945,100,135,2,11,0
NEW JERSEY,15864,17565,14278,1539,43,4,15864,28,3908,494,10413,1049,15864,3089,8002,3327,15,67,27
NEW MEXICO,7022,7463,6229,703,74,16,7022,0,1941,132,4362,587,7022,1816,504,4009,648,14,1
NEW YORK,25316,25322,22199,2275,804,38,25316,816,7637,850,15366,1463,25316,4029,12775,6143,47,168,0
NORTH CAROLINA,11027,11469,9451,1186,361,29,11027,356,1397,266,8415,949,11027,3082,6511,1109,245,32,15
NORTH DAKOTA,388,390,337,42,9,0,388,0,192,19,154,23,388,207,24,19,135,0,0
OHIO,14682,14912,12311,2315,55,1,14682,56,4082,958,7178,1168,14682,6351,6775,260,4,30,2
OKLAHOMA,5571,5571,4595,926,48,2,5571,44,986,194,3408,700,5571,2422,1967,538,279,20,5
OREGON,4444,5328,3814,621,7,2,4444,9,1671,311,2150,312,4444,3165,539,626,39,54,2
PENNSYLVANIA,32179,32651,28045,3834,291,9,32179,316,11524,1785,16076,1919,32179,12694,14783,4341,17,250,1
RHODE ISLAND,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
SOUTH CAROLINA,9553,9748,8467,1036,46,4,9553,39,1849,261,5502,671,9553,2960,5912,397,12,4,0
SOUTH DAKOTA,1105,1194,889,216,0,0,1105,0,407,107,482,109,1105,558,70,41,402,9,1
TENNESSEE,19325,20993,16384,2842,93,6,19325,99,8744,1564,7733,1284,19325,8207,10242,813,6,25,0
TEXAS,57365,57492,48753,8094,447,71,57365,342,15799,3274,32578,4758,57365,19967,17815,17378,16,155,2
UTAH,4906,5037,4164,738,4,0,4906,4,1866,362,2302,376,4906,3247,277,1083,156,34,65
VERMONT,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
VIRGINIA,27337,29336,23681,3545,108,3,27337,68,12818,2027,10634,1479,27337,10202,14265,1879,7,118,13
WASHINGTON,11558,12965,9909,1614,34,1,11558,27,4100,652,5344,865,11558,7298,2241,1140,501,323,2
D.C.,3103,3103,2766,299,37,1,3103,38,1593,163,1210,137,3103,66,2801,159,0,4,0
WEST VIRGINIA,3960,3960,3466,494,0,0,3960,0,1743,277,1723,217,3960,3366,547,43,2,2,0
WISCONSIN,9896,10772,8581,1104,188,23,9896,167,5279,715,3490,412,9896,4761,4049,649,174,85,0
WYOMING,723,748,618,105,0,0,723,0,143,26,228,36,723,522,48,126,27,0,0
